r2AssetId,r2PublicUrl,originalFilename,videoId,languageId,edition,version,missingMuxVideoId,muxStatus,muxErrorMessage
b4accc58-8af3-405b-838f-00816a12eac5,https://api-media-core.jesusfilm.org/1_cl-0-0/variants/7773/videos/69255909-cee7-42ac-a2d6-c3d03ebff5ff/7773_1_cl-0-0.mp4,1_cl-0-0---AC---7773---33603---0---0.mp4,1_cl-0-0,7773,ac,33603,true,,
b8d5dd10-2a8f-4eba-9e0a-75c849425bfe,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/12572/videos/a61772db-2f95-4ae2-a0e0-f0922631b8ab/12572_1_wl60-0-0.mp4,1_wl60-0-0---WL60---12572---33309---0---0.mp4,1_wl60-0-0,12572,wl60,33309,true,,
0ea2c806-416d-45fd-8c0e-122e1af21060,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/21674/videos/c792cd37-a5a6-4113-9841-60b35ef136f9/21674_1_wl60-0-0.mp4,1_wl60-0-0---WL60---21674---34078---0---0.mp4,1_wl60-0-0,21674,wl60,34078,true,,
45db76c6-48fa-403c-bd78-408f6212d59c,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/24343/videos/cee72cc6-b59d-4004-9da0-e955f075958d/24343_1_wl60-0-0.mp4,1_wl60-0-0---WL60---24343---34054---0---0.mp4,1_wl60-0-0,24343,wl60,34054,true,,
04983aef-81a7-450e-be12-9d4e29891f3b,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/176089/videos/e3250a13-9279-4a14-9173-4c96f5fb6f40/176089_1_wl60-0-0.mp4,1_wl60-0-0---WL60---176089---33567---0---0.mp4,1_wl60-0-0,176089,wl60,33567,true,,
d264f6ba-8079-4597-b028-5b03b9f9e512,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/5920/videos/a9920f7c-93e4-4429-82cc-ea81bf17ead1/5920_1_wl60-0-0.mp4,1_wl60-0-0---WL60---5920---33553---0---0.mp4,1_wl60-0-0,5920,wl60,33553,true,,
37b07b1c-10bf-4f2b-bf41-1a216b5aecf1,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/25919/videos/62bdce92-4c57-4cd2-9e5a-4fe8267bb341/25919_1_wl60-0-0.mp4,1_wl60-0-0---WL60---25919---33552---0---0.mp4,1_wl60-0-0,25919,wl60,33552,true,,
f25deebd-1fba-4d55-b7d5-e5289124cec2,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/5019/videos/e1560669-3aaa-453b-86d2-8d506d448553/5019_1_wl60-0-0.mp4,1_wl60-0-0---WL60---5019---33384---0---0.mp4,1_wl60-0-0,5019,wl60,33384,true,,
8f501a16-cd3d-4352-af43-fb2ea32a7db3,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/7547/videos/2ad17292-31bc-4d4d-bd26-d295eb430603/7547_1_wl60-0-0.mp4,1_wl60-0-0---WL60---7547---33364---0---0.mp4,1_wl60-0-0,7547,wl60,33364,true,,
4106c2e3-a171-4fae-b2bf-cf0c83983690,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/7238/videos/7765b289-42a7-4f99-83fb-2a7c0c3582e8/7238_1_wl60-0-0.mp4,1_wl60-0-0---WL60---7238---33487---0---0.mp4,1_wl60-0-0,7238,wl60,33487,true,,
